replication,buffer,time_h,event_type,product,delta_m3,level_after_m3
0,log_yard,7.151829879937614,PUT,LOG,21.876006512659337,21.876006512659337
0,log_yard,7.151829879937614,GET,LOG,-21.876006512659337,0.0
0,log_yard,8.182638295129724,PUT,LOG,23.6991574307657,23.6991574307657
0,stock_aserrado,9.705556273243204,PUT,P1,10.938003256329669,10.938003256329669
0,stock_aserrado,9.705556273243204,GET,P1,-10.938003256329669,0.0
0,log_yard,10.255556273243204,GET,LOG,-23.6991574307657,0.0
0,stock_aserrado,12.967488132350672,PUT,P2,11.84957871538285,11.84957871538285
0,stock_aserrado,12.967488132350672,GET,P2,-11.84957871538285,0.0
0,stock_seco,15.636608338543144,PUT,P2,11.494091353921362,11.494091353921362
0,stock_seco,15.636608338543144,GET,P2,-11.494091353921362,0.0
0,log_yard,16.301530961745016,PUT,LOG,30.294849726721036,30.294849726721036
0,log_yard,16.851530961745016,GET,LOG,-30.0,0.2948497267210364
0,stock_aserrado,19.62486582780553,PUT,P1,15.0,15.0
0,log_yard,19.62486582780553,GET,LOG,-0.2948497267210364,0.0
0,stock_aserrado,19.62486582780553,GET,P1,-15.0,0.0
0,log_yard,19.629638449630356,PUT,LOG,19.695814041774273,19.695814041774273
0,stock_aserrado,19.65965134616585,PUT,P1,0.1474248633605182,0.1474248633605182
0,stock_aserrado,20.200724017926508,GET,P1,-0.1474248633605182,0.0
0,log_yard,20.209651346165852,GET,LOG,-19.695814041774273,0.0
0,log_yard,21.527359960907333,PUT,LOG,27.158572056090396,27.158572056090396
0,stock_aserrado,21.84577274951955,PUT,P3,9.847907020887137,9.847907020887137
0,log_yard,22.39577274951955,GET,LOG,-27.158572056090396,0.0
0,stock_aserrado,22.57577274951955,GET,P3,-9.847907020887137,0.0
0,stock_seco,24.737241474154033,PUT,P3,9.552469810260522,9.552469810260522
0,stock_aserrado,25.646813120037887,PUT,P1,13.579286028045198,13.579286028045198
0,stock_aserrado,31.0,GET,P1,-13.579286028045198,0.0
0,log_yard,31.275454550774363,PUT,LOG,22.590468585487013,22.590468585487013
0,log_yard,31.275454550774363,GET,LOG,-22.590468585487013,0.0
0,stock_seco,31.61,GET,P3,-9.552469810260522,0.0
0,stock_drymill,32.511711772050916,PUT,P3,9.074846319747495,9.074846319747495
0,stock_drymill,32.511711772050916,GET,P3,-9.074846319747495,0.0
0,stock_aserrado,33.33332459543502,PUT,P1,11.295234292743507,11.295234292743507
0,stock_aserrado,33.33332459543502,GET,P1,-11.295234292743507,0.0
0,log_yard,36.55828199910997,PUT,LOG,26.466538273339097,26.466538273339097
0,log_yard,37.10828199910997,GET,LOG,-26.466538273339097,0.0
0,stock_aserrado,39.63951790383482,PUT,P2,13.233269136669549,13.233269136669549
0,stock_aserrado,40.36951790383482,GET,P2,-13.233269136669549,0.0
0,stock_seco,42.788235654543335,PUT,P2,12.836271062569462,12.836271062569462
0,log_yard,43.014937863773035,PUT,LOG,29.206135639327485,29.206135639327485
0,stock_seco,43.398235654543335,GET,P2,-12.836271062569462,0.0
0,log_yard,43.56493786377303,GET,LOG,-29.206135639327485,0.0
0,log_yard,44.546305571507915,PUT,LOG,23.396879516107546,23.396879516107546
0,log_yard,45.43904832044862,PUT,LOG,25.28922477896756,48.68610429507511
0,log_yard,45.91141426180462,PUT,LOG,24.408809892338482,73.0949141874136
0,stock_aserrado,46.532753248124585,PUT,P3,14.603067819663742,14.603067819663742
0,log_yard,47.08275324812458,GET,LOG,-30.0,43.09491418741359
0,stock_aserrado,47.26275324812458,GET,P3,-14.603067819663742,0.0
0,stock_aserrado,49.37080860735157,PUT,P2,15.0,15.0
0,stock_seco,50.17202662038611,PUT,P3,14.16497578507383,14.16497578507383
0,stock_aserrado,50.90202662038611,GET,P2,-15.0,0.0
0,stock_seco,53.867068765949114,PUT,P2,14.549999999999999,28.71497578507383
0,stock_seco,55.0,GET,P2,-14.549999999999999,14.16497578507383
0,log_yard,55.55,GET,LOG,-30.0,13.094914187413593
0,stock_seco,56.90294877822305,GET,P3,-14.16497578507383,0.0
0,stock_drymill,57.75188394479454,PUT,P3,13.456726995820137,13.456726995820137
0,stock_drymill,57.75188394479454,GET,P3,-13.456726995820137,0.0
0,stock_aserrado,57.87332901317324,PUT,P1,15.0,15.0
0,log_yard,57.87332901317324,GET,LOG,-13.09491418741359,3.552713678800501e-15
0,stock_aserrado,57.87332901317324,GET,P1,-15.0,0.0
0,log_yard,58.12240611545115,PUT,LOG,24.23410901985792,24.234109019857925
0,stock_aserrado,59.01155733162404,PUT,P1,6.547457093706795,6.547457093706795
0,stock_aserrado,59.01155733162404,GET,P1,-6.547457093706795,0.0
0,log_yard,59.10590083752018,PUT,LOG,29.947286985375342,54.18139600523327
0,log_yard,59.56155733162404,GET,LOG,-30.0,24.181396005233267
0,stock_aserrado,61.90397415531239,PUT,P2,15.0,15.0
0,stock_aserrado,61.90397415531239,GET,P2,-15.0,0.0
0,log_yard,61.90397415531239,GET,LOG,-24.181396005233264,3.552713678800501e-15
0,stock_aserrado,64.2785322355266,PUT,P2,12.090698002616632,12.090698002616632
0,stock_seco,65.18619751742762,PUT,P2,14.549999999999999,14.549999999999999
0,stock_aserrado,65.18619751742762,GET,P2,-12.090698002616632,0.0
0,log_yard,65.2212953986318,PUT,LOG,27.36305644127261,27.363056441272615
0,log_yard,65.2212953986318,GET,LOG,-27.36305644127261,3.552713678800501e-15
0,stock_seco,65.79619751742761,GET,P2,-14.549999999999999,0.0
0,log_yard,65.81432766341484,PUT,LOG,30.24940182957336,30.249401829573365
0,log_yard,65.96367215963707,PUT,LOG,28.507978165507726,58.757379995081095
0,stock_seco,66.90682800480803,PUT,P2,11.727977062538132,11.727977062538132
0,stock_seco,66.90682800480803,GET,P2,-11.727977062538132,0.0
0,stock_aserrado,67.67705118301166,PUT,P2,13.681528220636306,13.681528220636306
0,stock_aserrado,67.67705118301166,GET,P2,-13.681528220636306,0.0
0,log_yard,68.22705118301165,GET,LOG,-30.0,28.757379995081095
0,log_yard,69.6215004430304,PUT,LOG,36.20141899468385,64.95879898976494
0,stock_seco,70.41744334398403,PUT,P2,13.271082374017217,13.271082374017217
0,stock_seco,70.41744334398403,GET,P2,-13.271082374017217,0.0
0,stock_aserrado,70.43330223605419,PUT,P1,15.0,15.0
0,log_yard,70.43330223605419,GET,LOG,-30.0,34.958798989764944
0,stock_aserrado,70.43330223605419,GET,P1,-15.0,0.0
0,log_yard,70.63089822191704,PUT,LOG,21.324390518041234,56.28318950780618
0,stock_aserrado,73.75783057690775,PUT,P1,15.0,15.0
0,stock_aserrado,79.0,GET,P1,-15.0,0.0
0,log_yard,79.0,GET,LOG,-30.0,26.283189507806178
0,log_yard,81.27521568033131,PUT,LOG,24.65730588077807,50.940495388584246
0,stock_aserrado,81.72924502864436,PUT,P1,15.0,15.0
0,stock_aserrado,81.72924502864436,GET,P1,-15.0,0.0
0,log_yard,82.0537531915823,PUT,LOG,17.816740666624895,68.75723605520915
0,log_yard,82.27924502864435,GET,LOG,-30.0,38.75723605520915
0,log_yard,82.99619051094038,PUT,LOG,26.60999085355025,65.36722690875939
0,stock_aserrado,84.86969057483137,PUT,P3,15.0,15.0
0,log_yard,85.41969057483136,GET,LOG,-30.0,35.36722690875939
0,stock_aserrado,85.59969057483137,GET,P3,-15.0,0.0
0,stock_aserrado,87.97139756679304,PUT,P1,15.0,15.0
0,log_yard,87.97139756679304,GET,LOG,-30.0,5.367226908759392
0,stock_aserrado,87.97139756679304,GET,P1,-15.0,0.0
0,log_yard,87.98137218885142,PUT,LOG,21.779042703299027,27.14626961205842
0,log_yard,89.02748406637356,PUT,LOG,22.20608032723007,49.35234993928849
0,stock_seco,89.09452056633185,PUT,P3,14.549999999999999,14.549999999999999
0,log_yard,89.68528564092195,PUT,LOG,24.762824499892943,74.11517443918143
0,stock_seco,89.70452056633185,GET,P3,-14.549999999999999,0.0
0,stock_aserrado,90.453965686717,PUT,P1,15.0,15.0
0,stock_aserrado,90.453965686717,GET,P1,-15.0,0.0
0,stock_drymill,90.89678410192265,PUT,P3,13.822499999999998,13.822499999999998
0,stock_drymill,90.89678410192265,GET,P3,-13.822499999999998,0.0
0,log_yard,91.003965686717,GET,LOG,-30.0,44.11517443918143
0,stock_aserrado,93.63878832464202,PUT,P3,15.0,15.0
0,stock_aserrado,93.63878832464202,GET,P3,-15.0,0.0
0,log_yard,94.18878832464202,GET,LOG,-30.0,14.11517443918143
0,stock_seco,95.69479585699483,PUT,P3,14.549999999999999,14.549999999999999
0,stock_aserrado,100.58802011164173,PUT,P1,15.0,15.0
0,stock_seco,103.0,GET,P3,-14.549999999999999,0.0
0,stock_aserrado,103.0,GET,P1,-15.0,0.0
0,log_yard,103.0,GET,LOG,-14.115174439181423,7.105427357601002e-15
0,log_yard,103.79569024577064,PUT,LOG,21.456453395727564,21.45645339572757
0,stock_drymill,103.96064751601207,PUT,P3,13.822499999999998,13.822499999999998
0,stock_drymill,103.96064751601207,GET,P3,-13.822499999999998,0.0
0,stock_aserrado,104.45555542033881,PUT,P1,7.057587219590712,7.057587219590712
0,log_yard,104.45555542033881,GET,LOG,-21.456453395727564,7.105427357601002e-15
0,stock_aserrado,104.45555542033881,GET,P1,-7.057587219590712,0.0
0,stock_aserrado,106.45603122667143,PUT,P1,10.728226697863782,10.728226697863782
0,stock_aserrado,106.45603122667143,GET,P1,-10.728226697863782,0.0
0,log_yard,111.98684164298582,PUT,LOG,24.944388370416593,24.9443883704166
0,log_yard,111.98684164298582,GET,LOG,-24.944388370416593,7.105427357601002e-15
0,log_yard,113.97539153674,PUT,LOG,36.268266450700324,36.26826645070033
0,stock_aserrado,114.47066490094522,PUT,P1,12.472194185208297,12.472194185208297
0,stock_aserrado,114.47066490094522,GET,P1,-12.472194185208297,0.0
0,log_yard,115.02066490094522,GET,LOG,-30.0,6.268266450700331
0,log_yard,116.23224608871443,PUT,LOG,28.050561276468756,34.31882772716909
0,log_yard,116.34165543989656,PUT,LOG,26.966412381801465,61.285240108970555
0,stock_aserrado,117.94727069422947,PUT,P2,15.0,15.0
0,log_yard,118.01029684471457,PUT,LOG,23.603486599510912,84.88872670848147
0,log_yard,118.49727069422947,GET,LOG,-30.0,54.88872670848147
0,stock_aserrado,118.67727069422948,GET,P2,-15.0,0.0
0,stock_aserrado,121.19438726997976,PUT,P3,15.0,15.0
